,virus,Start,End,Score
0,nc_045512.2.fasta.S15-30_L3-10_M3.pal,0,10,0
1,nc_045512.2.fasta.S15-30_L3-10_M3.pal,5,15,0
2,nc_045512.2.fasta.S15-30_L3-10_M3.pal,10,20,0
3,nc_045512.2.fasta.S15-30_L3-10_M3.pal,15,25,0
4,nc_045512.2.fasta.S15-30_L3-10_M3.pal,20,30,0
5,nc_045512.2.fasta.S15-30_L3-10_M3.pal,25,35,0
6,nc_045512.2.fasta.S15-30_L3-10_M3.pal,30,40,0
7,nc_045512.2.fasta.S15-30_L3-10_M3.pal,35,45,0
8,nc_045512.2.fasta.S15-30_L3-10_M3.pal,40,50,0
9,nc_045512.2.fasta.S15-30_L3-10_M3.pal,45,55,0
10,nc_045512.2.fasta.S15-30_L3-10_M3.pal,50,60,0
11,nc_045512.2.fasta.S15-30_L3-10_M3.pal,55,65,0
12,nc_045512.2.fasta.S15-30_L3-10_M3.pal,60,70,0
13,nc_045512.2.fasta.S15-30_L3-10_M3.pal,65,75,0
14,nc_045512.2.fasta.S15-30_L3-10_M3.pal,70,80,0
15,nc_045512.2.fasta.S15-30_L3-10_M3.pal,75,85,0
16,nc_045512.2.fasta.S15-30_L3-10_M3.pal,80,90,0
17,nc_045512.2.fasta.S15-30_L3-10_M3.pal,85,95,0
18,nc_045512.2.fasta.S15-30_L3-10_M3.pal,90,100,0
19,nc_045512.2.fasta.S15-30_L3-10_M3.pal,95,105,0
20,nc_045512.2.fasta.S15-30_L3-10_M3.pal,100,110,0
21,nc_045512.2.fasta.S15-30_L3-10_M3.pal,105,115,0
22,nc_045512.2.fasta.S15-30_L3-10_M3.pal,110,120,0
23,nc_045512.2.fasta.S15-30_L3-10_M3.pal,115,125,0
24,nc_045512.2.fasta.S15-30_L3-10_M3.pal,120,130,0
25,nc_045512.2.fasta.S15-30_L3-10_M3.pal,125,135,0
26,nc_045512.2.fasta.S15-30_L3-10_M3.pal,130,140,0
27,nc_045512.2.fasta.S15-30_L3-10_M3.pal,135,145,0
28,nc_045512.2.fasta.S15-30_L3-10_M3.pal,140,150,0
29,nc_045512.2.fasta.S15-30_L3-10_M3.pal,145,155,0
30,nc_045512.2.fasta.S15-30_L3-10_M3.pal,150,160,0
31,nc_045512.2.fasta.S15-30_L3-10_M3.pal,155,165,0
32,nc_045512.2.fasta.S15-30_L3-10_M3.pal,160,170,0
33,nc_045512.2.fasta.S15-30_L3-10_M3.pal,165,175,0
34,nc_045512.2.fasta.S15-30_L3-10_M3.pal,170,180,0
35,nc_045512.2.fasta.S15-30_L3-10_M3.pal,175,185,0
36,nc_045512.2.fasta.S15-30_L3-10_M3.pal,180,190,0
37,nc_045512.2.fasta.S15-30_L3-10_M3.pal,185,195,0
38,nc_045512.2.fasta.S15-30_L3-10_M3.pal,190,200,0
39,nc_045512.2.fasta.S15-30_L3-10_M3.pal,195,205,0
40,nc_045512.2.fasta.S15-30_L3-10_M3.pal,200,210,0
41,nc_045512.2.fasta.S15-30_L3-10_M3.pal,205,215,0
42,nc_045512.2.fasta.S15-30_L3-10_M3.pal,210,220,0
43,nc_045512.2.fasta.S15-30_L3-10_M3.pal,215,225,0
44,nc_045512.2.fasta.S15-30_L3-10_M3.pal,220,230,0
45,nc_045512.2.fasta.S15-30_L3-10_M3.pal,225,235,0
46,nc_045512.2.fasta.S15-30_L3-10_M3.pal,230,240,0
47,nc_045512.2.fasta.S15-30_L3-10_M3.pal,235,245,0
48,nc_045512.2.fasta.S15-30_L3-10_M3.pal,240,250,0
49,nc_045512.2.fasta.S15-30_L3-10_M3.pal,245,255,0
50,nc_045512.2.fasta.S15-30_L3-10_M3.pal,250,260,0
51,nc_045512.2.fasta.S15-30_L3-10_M3.pal,255,265,0
52,nc_045512.2.fasta.S15-30_L3-10_M3.pal,260,270,0
53,nc_045512.2.fasta.S15-30_L3-10_M3.pal,265,275,0
54,nc_045512.2.fasta.S15-30_L3-10_M3.pal,270,280,0
55,nc_045512.2.fasta.S15-30_L3-10_M3.pal,275,285,0
56,nc_045512.2.fasta.S15-30_L3-10_M3.pal,280,290,0
